naslov,cena_eur,lokacija,kvadratura,broj_soba
Novi Beograd-Ledine-Novogradnja-2.0-Parking mesto,99.000,"Beograd, Opština Novi Beograd, Ledine",43 m2,2.0
Novi Beograd-Ledine-66m2-Novogradnja-Parking ID#33,165.000,"Beograd, Opština Novi Beograd, Ledine",66 m2,2.5
Fantastična ponuda. Vrtovi Ceraka. Hitno,266.000,"Beograd, Opština Rakovica, Vidikovac, ",89 m2,4.0
"4.0 lux, svetao, kompletno renoviran stan",350.000,"Beograd, Opština Zvezdara, Gradska bolnica, Preševska",100 m2,4.0
LUKSUZAN stan 196 m² u jednom nivou-Neimarski park,882.000,"Beograd, Opština Vračar, Hram svetog Save, Mihaila Gavrilovića",196 m2,5.0
Retko u ponudi komforan stan - Barajevo,79.000,"Beograd, Opština Barajevo, Barajevo (mesto), Carice Milice",66 m2,2.5
Surčin-Vojvodjanska-Novogradnja ID#3274,166.800,"Beograd, Opština Surčin, Surčin (mesto), Vojvođanska",79 m2,3.0
BW-Beograd na vodi-Trosoban-Garažno mesto ID#3285,399.000,"Beograd, Opština Savski venac, Beograd na vodi, Luke Ćelovića Trebinjca",87 m2,3.0
Novogradnja u Prvomajskoj useljenje 2027. godine,178.750,"Beograd, Opština Zemun, Prvomajska, Prvomajska",65 m2,2.5
"Airport Garden, Novogradnja,Lux,2.0,Plaćen pdv",238.000,"Beograd, Opština Novi Beograd, Blok 65","55,36 m2",2.0
Luksuzno renoviran 4.0 uknjižen stan na Dorćolu,289.000,"Beograd, Opština Stari grad, Dorćol, Visokog Stevana",93 m2,4.0
"Useljiv, legalizacija, opis u tekstu oglasa",71.000,"Beograd, Opština Novi Beograd, Ledine, Danice Kojić",49 m2,2.5
"TOP ponuda, LUX, 68m2, 3.0, salonac, Kneza Danila",289.000,"Beograd, Opština Palilula, Poštanska štedionica, Kneza Danila",68 m2,3.0
Troiposobni stan - Poslovni apartman u kompleksu V,263.648,"Beograd, Opština Voždovac, Vojvode Stepe, Vojvode Stepe","99,49 m2",3.5
Stan sa sopstvenim dvorištem - uz Savu,269.000,"Beograd, Opština Novi Beograd, Blok 45 (TC Enjub), Nehruova",73 m2,2.5
Ekskluzivan stan kod Hrama sa 2 garazna mesta,902.000,"Beograd, Opština Vračar, Hram svetog Save",167 m2,4.0
Biser Mirijeva,160.000,"Beograd, Opština Zvezdara, Mirijevo, Nevenke Urbanove","49,73 m2",2.0
"Pogled na Dunav, uknjižen, jednosoban",159.000,"Beograd, Opština Stari grad, Dunavski kej, Tadeuša Košćuška",28 m2,1.0
"Izuzetna novogradnja, 1.0, Mirijevo 3",74.800,"Beograd, Opština Zvezdara, Mirijevo","31,18 m2",1.0
"Oaza Mirijevo, Dva bela goluba, Lux stan",133.000,"Beograd, Opština Zvezdara, Mirijevo, Dva bela goluba",44 m2,1.5
Karaburma- renorviran - za preporuku 42+10 (trem),105.000,"Beograd, Opština Palilula, Karaburma, Husinskih rudara",42 m2,1.0
Svetao stan kod Bul. Kralja Aleksandra,120.000,"Beograd, Opština Zvezdara, Bulevar kralja Aleksandra, Voje Veljkovića",29 m2,1.0
"Renoviran, kompletno namešten, investicija ID#1327",141.000,"Beograd, Opština Zvezdara, Denkova bašta, Kovačeva",40 m2,2.0
"Renoviran stan sa dvorištem, kod Bogoslovije ID#13",138.200,"Beograd, Opština Palilula, Bogoslovija, ",52 m2,3.0
"Fontana, 77m2, adaptibilan u 3.5, parking",205.000,"Beograd, Opština Novi Beograd, Fontana, Pariske komune",77 m2,2.0
"NEVEROVATNA ponuda! Salonac,duplex,Vojvode Stepe!",230.000,"Beograd, Opština Voždovac, Vojvode Stepe, Vojvode Stepe",128 m2,5+
Novogradnja Ledine,103.500,"Beograd, Opština Surčin, Ledine","46,23 m2",2.5
Extra lux stan u izgradnji-bez provizije,306.000,"Beograd, Opština Savski venac, Humska",68 m2,3.0
"Lako adaptibilan u 1.5, uknjižen",119.900,"Beograd, Opština Zemun, Save Kovačevića, Sava Burića",41 m2,1.0
"Surčin, novogradnja, prvi sprat, rok sept. 2026. g",69.900,"Beograd, Opština Surčin, Surčin (mesto), ","29,48 m2",1.0
"Uknjižen stan, bez ulaganja - Karaburma ID#4134",79.900,"Beograd, Opština Palilula, Karaburma, Dr Drage Ljočić",28 m2,0.5
Ekskluzivan salonac u Svetog Save,830.000,"Beograd, Opština Vračar, Hram svetog Save, Svetog Save",190 m2,4.0
"3.0 stan, južno orjentisan, 81+9m2 ID#1077",270.000,"Beograd, Opština Novi Beograd, Blok 70 (kineski tržni centar), Jurija Gagarina",81 m2,3.0
"Apartman 32m² – Bali Colloseum Altina, lift, renta",63.500,"Beograd, Opština Zemun, Altina, Ugrinovački put 22. deo",32 m2,1.0
VRAČAR (Kalenić) – 44m² •2.0.Podrum 10m² ✨,220.000,"Beograd, Opština Vračar, Hram svetog Save, Kursulina",42 m2,2.0
"Top-Renoviran 3.0 stan, uknjižen, može na kredit",179.500,"Beograd, Opština Voždovac, Autokomanda",49 m2,3.0
"Porodičan stan, lux, na izuzetnoj lokaciji ID#1245",268.450,"Beograd, Opština Zvezdara, Denkova bašta, ",91 m2,4.0
"Blok 45, prvi red do Save, sa baštom",269.000,"Beograd, Opština Novi Beograd, Blok 45 (TC Enjub), Nehruova",73 m2,2.0
"Žarkovo – porodičan stan, 80m²",249.000,"Beograd, Opština Čukarica, Žarkovo, Poručnika Spasića i Mašere",80 m2,4.0
"Jedan od najpovoljnijih renoviranih, uknjiženih st",155.000,"Beograd, Opština Zvezdara, Mirijevo, Petrarkina",63 m2,2.5
"Umka, Zelengorska, 39m2, terasa, odličan",85.000,"Beograd, Opština Čukarica, Umka, Zelengorska",39 m2,1.5
"Panorama 26 - trosoban stan, 77 m², Novi Beograd",498.900,"Beograd, Opština Novi Beograd, Blok 26, Bulevar Mihajla Pupina","77,23 m2",3.0
"Blok 19a Sava Centar, 5 soba jedinstven, opremljen",460.000,"Beograd, Opština Novi Beograd, Blok 19a, Bulevar Arsenija Čarnojevića",132 m2,5.0
Trosoban stan sa velikim potencijalom.,129.000,"Beograd, Opština Zvezdara, Mirijevo, Meše Selimovića",67 m2,3.0
Novogradnja dr Velizara Kosanovića,268.450,"Beograd, Opština Zvezdara, Denkova bašta, Dr Velizara Kosanovića",91 m2,3.5
Lux opremljen stan na Vozdovcu,200.000,"Beograd, Opština Voždovac, Vojvode Vlahovića, Dukatska",70 m2,3.0
Golf - 1.5 - namešten - parking - 1% provizija,128.000,"Beograd, Opština Čukarica, Banovo brdo, Beogradskog bataljona",29 m2,1.5
Potpuno opremljena garsonjera na prodaju,83.000,"Beograd, Opština Zvezdara, Mirijevo, Mirijevski venac",28 m2,1.0
