naslov,cena_eur,lokacija,kvadratura,broj_soba
"Kredit Borča 3,0 sa parking mestom",114.900,"Beograd, Opština Palilula, Borča, Mihaila Šolohova",65 m2,3.0
"Ekskluzivan,uknjižen, kompletno namešten, duplex n",310.000,"Beograd, Opština Voždovac, Lekino brdo, Cankareva",98 m2,4.0
Retka prilika na Vračaru ID#16005,270.000,"Beograd, Opština Vračar, Čubura, Generala Horvatovića","78,13 m2",3.0
"Izuzetno funkcionalan, uknjizen, odmah useljiv",138.500,"Beograd, Opština Zvezdara, Konjarnik, Olge Alkalaj",36 m2,1.5
Vidikovac,129.000,"Beograd, Opština Rakovica, Vidikovac, Vidikovački venac",28 m2,1.5
Salonski dvoiposoban stan 57m2 sa parkingom,258.000,"Beograd, Opština Stari grad, Skadarlija, Bulevar despota Stefana",57 m2,2.5
Luksuzan salonski stan kod Skupštine-Kosovska,417.000,"Beograd, Opština Stari grad, Skupština, Kosovska",87 m2,3.0
LUX 4.0 stan sa panoramskim pogledom,610.000,"Beograd, Opština Savski venac, Beograd na vodi, Hercegovačka",124 m2,4.0
"Višnjička banja, crvena fasadna cigla",185.000,"Beograd, Opština Palilula, Višnjička Banja, Slobodana Jovanovića",67 m2,2.5
"Zemun Kej, 78(2L) delimično pogled na Dunav",265.000,"Beograd, Opština Zemun, Kej",78 m2,2.5
U ponudi je stan na izuzetno atraktivnoj lokaciji,234.900,"Beograd, Opština Voždovac, Šumice, Vidska",72 m2,2.5
"Stari grad, Bajloni, 104+20, sređen, polunamešten",395.000,"Beograd, Opština Stari grad, Gundulićev venac, Šantićeva",104 m2,4.0
"Bogoslovija, 53kvm, 3-s., CG, + parking-zakup",139.000,"Beograd, Opština Palilula, Bogoslovija, Mije Kovačevića",53 m2,2.5
"Odlična prilika, 55m2, uknjižen",137.500,"Beograd, Opština Čukarica, Banovo brdo, Udbinska",55 m2,2.0
"Braće Jerković, trosoban",230.000,"Beograd, Opština Voždovac, Braće Jerković, Braće Jerković",91 m2,3.0
K-District. Namešten i nov. Garaža u ceni,419.000,"Beograd, Opština Stari grad, Dorćol, Dunavska",68 m2,2.0
"Bežanijska kosa II, stan za preporuku ID#25241",335.000,"Beograd, Opština Novi Beograd, Bežanijska kosa 2, Marka Čelebonovića",96 m2,4.0
Zepterra 05 | Blok 65 | Kompletno namešten | Odlič,329.000,"Beograd, Opština Novi Beograd, Blok 65, ",70 m2,3.0
Stan sa odvojenom spavaćom i pogledom na prirodu,107.622,"Beograd, Opština Voždovac, Banjica, ","39,76 m2",1.5
"NOV uknjižen, miran, velika terasa 28 kvm",148.000,"Beograd, Opština Zvezdara, Gradska bolnica, Dimitrija Katića",56 m2,1.5
komforna garsonjera u prizemlju,77.500,"Beograd, Opština Palilula, Višnjička Banja, Batočinska",28 m2,0.5
"U ponudi stan, Glasinačka, Konjarnik",152.000,"Beograd, Opština Voždovac, Konjarnik, Glasinačka",45 m2,1.0
"Kvalitetno renoviran, odlična lokacija",168.000,"Beograd, Opština Palilula, Karaburma, Pera Ćetkovića",55 m2,2.5
"Bežanijska Kosa 1, 59m2 +10m2 renoviran",245.000,"Beograd, Opština Novi Beograd, Bežanijska kosa 1, Marka Čelebonovića",69 m2,2.0
"Izuzetan stan, 4.0, Denkova bašta",268.450,"Beograd, Opština Zvezdara, Denkova bašta","90,89 m2",4.0
"Renoviran duplex stan na odličnoj lokaciji, Stari",215.000,"Beograd, Opština Stari grad, Dorćol, Đorđa Jovanovića",54 m2,3.0
Salonski stan na Banovom brdu,270.000,"Beograd, Opština Čukarica, Banovo brdo, Nikolaja Gogolja",98 m2,4.0
"Vračar (Šumatovačka ulica), 84 m2, Banat Gradnja",319.200,"Beograd, Opština Vračar, Južni bulevar, Šumatovačka",84 m2,3.5
"Odlična prilika, porodičan 4.0, luks novogradnja",286.700,"Beograd, Opština Voždovac, Autokomanda, Kumodraška",94 m2,4.0
"2.5 stan, Južni bulevar-Deli Radivoja ID#3859",176.000,"Beograd, Opština Voždovac, Lekino brdo, Deli Radivoja",49 m2,2.5
Lux duplex Crveni krst ID#16003,340.000,"Beograd, Opština Zvezdara, Crveni krst, Prespanska",94 m2,3.0
Stan sa pogledom na reku,999.900,"Beograd, Opština Stari grad, Kosančićev venac, Karadjordjeva",175 m2,5+
"Salonac, Brankova, 1.sprat ID#25622",265.000,"Beograd, Opština Stari grad, Centar, Brankova",61 m2,2.0
"Kod BEO Shopping centra, Uknjizen. Moze na kredit",141.000,"Beograd, Opština Zvezdara, Denkova bašta, Kovačeva",39 m2,2.0
"Uknjižen, sa parkingom - Cvetanova ćuprija ID#4116",135.000,"Beograd, Opština Zvezdara, Cvetanova ćuprija, Mihajla Kostića Pljake",47 m2,2.5
Vračar -Metohijska -uknjižen - bespl.parking,202.000,"Beograd, Opština Vračar, Crveni krst, ",53 m2,2.0
Novogradnja u Mirijevu,112.000,"Beograd, Opština Zvezdara, Mirijevo, Nine Kirsanove",45 m2,1.5
Lux novogradnja 4.0 - Park Šumice,325.171,"Beograd, Opština Voždovac, Šumice","79,31 m2",4.0
"Odličan, 3.0, porodičan stan",314.000,"Beograd, Opština Čukarica, Banovo brdo, Petra Lekovića",103 m2,3.0
Lux duplex u strogom centru grada - Kralja Petra,740.000,"Beograd, Opština Stari grad, Dorćol",179 m2,4.0
"Odličan dvosoban, blok 70a",219.900,"Beograd, Opština Novi Beograd, Blok 70a, Dr Agostina Neta",67 m2,2.0
"Zemun, fenomenalna lokacija i odlična investicija",97.000,"Beograd, Opština Zemun, Cara Dušana, Cara Dušana",31 m2,1.5
"Banovo Brdo, 3.0 + parking mesto",269.000,"Beograd, Opština Čukarica, Banovo brdo",106 m2,3.0
Odlican noviji manji stan u blizini Autokomande!,130.000,"Beograd, Opština Voždovac, Autokomanda, Kumodraška",39 m2,2.0
"Zemun, Atanasija Pulje, 3.0 stan sa parking mestom",169.000,"Beograd, Opština Zemun, Gornji grad, Atanasija Pulje",70 m2,3.0
Odličan stan u samom centru,442.000,"Beograd, Opština Stari grad, Trg Nikole Pašića, Dečanska",85 m2,3.0
Uknjižen 1.5 stan - kod škole ID#4244,93.000,"Beograd, Opština Rakovica, Vidikovačka padina, 17. oktobra",30 m2,1.5
"Sređen, dupleks, savršena lokacija, Miljakovac",190.000,"Beograd, Opština Rakovica, Miljakovac, Dimitrija Koturovića",117 m2,3.0
"Fasadna cigla, duplex, Susedgradska",239.000,"Beograd, Opština Rakovica, Vidikovac, Susedgradska",108 m2,4.5
"Lux K-District, pogled na reku",777.000,"Beograd, Opština Stari grad, Dorćol, Dunavska",152 m2,4.0
"Odlican 2.5 stan, centar Zemuna, park!",229.000,"Beograd, Opština Zemun, Centar, Dr Miloša Radojčića",68 m2,3.0
"Vračar, Novopazarska – 3.0 sa garažnim mestom",415.000,"Beograd, Opština Vračar, Kalenić pijaca, Novopazarska",83 m2,3.0
"Gornji grad, Dragana Rakica, 3.0, 84 m2, parking",295.000,"Beograd, Opština Zemun, Gornji grad, Dragana Rakića",84 m2,3.0
"Karaburma, Husinskih rudara",139.900,"Beograd, Opština Palilula, Karaburma, Husinskih rudara",54 m2,2.0
Blok 65 - Tadije Sondermajera,300.000,"Beograd, Opština Novi Beograd, Blok 65, Tadije Sondermajera",58 m2,2.0
West Tower | Blok 65 | Odličan raspored,650.000,"Beograd, Opština Novi Beograd, Blok 65, ",123 m2,4.0
BW Riviera 01 | Beograd na vodi | Pogled na reku,1.000.000,"Beograd, Opština Savski venac, Beograd na vodi",153 m2,3.0
"Retko, namesten, pesacka zona",389.000,"Beograd, Opština Stari grad, Knez Mihailova, Čika Ljubina",73 m2,3.0
"Uknjizen, nov 3.0 stan, mogucnost kredita za mlade",134.500,"Beograd, Opština Grocka, Kaluđerica, Kaluđerica",82 m2,3.0
"Airport garden, nov, neuseljavan",259.800,"Beograd, Opština Novi Beograd, Blok 65, Đorđa Stanojevića",60 m2,2.0
Odmah useljiv 3.0 stan sa prelepim pogledom!,164.000,"Beograd, Opština Zemun, Save Kovačevića, Ohridska",62 m2,2.5
Luksuzan Dvosoban Stan,138.000,"Beograd, Opština Palilula, Karaburma, Dragoslava Srejovića",44 m2,2.0
Novi Beograd | Dušana Krstića | 77m2,200.000,"Beograd, Opština Novi Beograd, Ledine, Dušana Krstića",77 m2,3.0
"Renoviran i namešten 2,5 stan 77 m² – Medaković 3",209.000,"Beograd, Opština Zvezdara, Medaković 3, Braće Srnić",77 m2,2.5
"Odlica stan,okruzen zelenilom,trostrano orjentisan",345.000,"Beograd, Opština Voždovac, Šumice, Braće Kovač",99 m2,3.5
"Batajnica, pretprodaja, 61.29 m2, cena + pdv",100.293,"Beograd, Opština Zemun, Batajnica, ","61,29 m2",3.0
"Batajnica, pretprodaja, 45.80 m2, cena + pdv",83.272,"Beograd, Opština Zemun, Batajnica, ","45,80 m2",1.5
"Novogradnja, Bulevar residence, 42.66 m2 + pdv",127.980,"Beograd, Opština Zvezdara, Bulevar kralja Aleksandra, ","42,66 m2",1.5
"BW Perla, Ekskluzivan rezidencijalni prostor na 16",969.000,"Beograd, Opština Savski venac, Beograd na vodi, Hercegovačka",150 m2,4.0
"Vidikovac, nov, odmah useljiv stan",188.000,"Beograd, Opština Rakovica, Vidikovac, Kneza Višeslava",60 m2,3.0
"Novogradnja, Zemun, Železnička, 59,24m2, dvosoban",177.000,"Beograd, Opština Zemun, Prvomajska, Železnička","59,24 m2",2.0
"Vojvode Vlahović, luks uknjižen stan",132.000,"Beograd, Opština Zvezdara, Vojvode Vlahovića, Vojvode Vlahovića",43 m2,2.0
"Ledine, ugao Surčinske i Valtrovićeve u izgradnji",170.000,"Beograd, Opština Novi Beograd, Ledine, Valtrovićeva",64 m2,3.0
"Ledine, dvoiposoban stan u izgradnji",146.000,"Beograd, Opština Novi Beograd, Ledine",55 m2,2.5
Prodaja: 2.5-soban stan (kuća u nizu) na Ceraku,195.000,"Beograd, Opština Čukarica, Cerak, Kadinjača",62 m2,2.5
Četvorosoban dvoetažni stan Julino brdo,185.000,"Beograd, Opština Čukarica, Julino brdo, Siniše Stankovića",75 m2,4.0
"Lekino Brdo Dvoiposoban stan 62,73m² – Lekino brd",250.857,"Beograd, Opština Voždovac, Lekino brdo, Matuvljeva","62,74 m2",3.0
Blok 30 Stan 64m2 Dvosoban,230.000,"Beograd, Opština Novi Beograd, Blok 30 (B92), Bulevar Mihajla Pupina",64 m2,2.0
Direktna prodaja-Luksuzna novogradnja-cena sa PDVo,153.859,"Beograd, Opština Voždovac, Vojvode Vlahovića, Generala Đoke Popovića","58,28 m2",3.0
"Lux - Green Hill 184m2+60m2 T, 2 garazna mesta",989.000,"Beograd, Opština Savski venac, Dedinje, Dr Vojislava Stojanovića",184 m2,4.0
"Luksuzan 4.0 stan,Sunnyville ID#12728",350.000,"Beograd, Opština Palilula, Višnjička Banja, Mirka Milojkovića",122 m2,4.0
"Voždovac , 2.0 stan ID#15806",155.000,"Beograd, Opština Voždovac, Kumodraž, Bulevar Peka Dapčevića",55 m2,2.0
Odličan četvorosobni stan na Banjici,272.700,"Beograd, Opština Voždovac, Banjica",88 m2,4.0
"Uknjižen, namešten, lokacija, investicija!",155.000,"Beograd, Opština Novi Beograd, Blok 21, Bulevar Mihajla Pupina",29 m2,1.0
"Odličan porodičan stan, Cerak Vinogradi",270.000,"Beograd, Opština Čukarica, Cerak vinogradi, Lipa",94 m2,4.0
"Vracar, Stojana Protica renoviran",300.000,"Beograd, Opština Vračar, Hram svetog Save, Stojana Protića",72 m2,2.5
Sjajna ponuda! Luksuzan stan kvalitetne gradnje!,275.000,"Beograd, Opština Zvezdara, Mirijevo, Radivoja Markovića",110 m2,4.0
"Odmah useljiv, renoviran",132.000,"Beograd, Opština Voždovac, Braće Jerković, Braće Jerković",29 m2,1.5
"Izuzetna novogradnja, dve spavaće sobe + parking I",133.584,"Beograd, Opština Rakovica, Miljakovac, ","55,66 m2",2.5
Lux novogradnja sa parking mestom ID#1300,76.500,"Beograd, Opština Grocka, Kaluđerica, ",45 m2,2.5
"Izuzetan kvalitet gradnje, Kaluđerica ID#1301",68.000,"Beograd, Opština Grocka, Kaluđerica",40 m2,2.0
"Blok 28, Milutina Milankovića, 56m2 2.5",201.600,"Beograd, Opština Novi Beograd, Blok 28, ",56 m2,2.5
Novi Beograd-Wellport ID#1600,799.000,"Beograd, Opština Novi Beograd, Blok 65, Omladinskih brigada",141 m2,4.0
Novi Beograd-Kula West ID#1599,429.000,"Beograd, Opština Novi Beograd, Blok 65, Omladinskih brigada",78 m2,3.0
Retko u ponudi,349.000,"Beograd, Opština Stari grad, Takovska, Generala Lešjanina",90 m2,4.0
"Lekino brdo, Tetovska 46 m2, Banat Gradnja, novo",152.100,"Beograd, Opština Voždovac, Lekino brdo, Tetovska",39 m2,2.0
"LUX Hram svetog Save, uknjižen, može na kredit",249.000,"Beograd, Opština Vračar, Hram svetog Save, Baba Višnjina",50 m2,2.0
"Palilula, Višnjička banja - Darinke Jevrić",269.000,"Beograd, Opština Palilula, Višnjička Banja, Darinke Jevrić",93 m2,3.0
"Palilula, Višnjička banja - Slanački put",265.000,"Beograd, Opština Palilula, Višnjička Banja, Slanački put",67 m2,3.0
"Odmah useljiv, sa pogledom",205.000,"Beograd, Opština Voždovac, Banjica, Paunova",80 m2,3.0
Stan Durmitorska na prodaju,287.600,"Beograd, Opština Savski venac, Sarajevska, Durmitorska",67 m2,4.0
"Kolubarska, lux novogradnja",185.455,"Beograd, Opština Voždovac, Ustanička, Kolubarska","51,05 m2",1.5
"Odičan 2.0 stan, useljiv krajem 2026.",226.314,"Beograd, Opština Novi Beograd, Blok 64, Đorđa Stanojevića","59,09 m2",2.0
Bw Quartet4 Pogled na Kulu,349.500,"Beograd, Opština Savski venac, Beograd na vodi, Nikolaja Kravcova",78 m2,3.0
Bw Iris 4.0 Panoramski Pogled useljiv odmah!,499.500,"Beograd, Opština Savski venac, Beograd na vodi, Bulevar Vudroa Vilsona",111 m2,4.0
"Krunska,Molerova,raskošan salonac,odlicna zgrada.",310.000,"Beograd, Opština Vračar, Krunska, Molerova",75 m2,3.0
"Ekskluzivna ponuda. Lux, svetao, dvosoban stan.",141.000,"Beograd, Opština Voždovac, Braće Jerković, Jovana Bijelića","37,30 m2",2.0
Lux 4.5 stan sa 2 parking mesta i velikom terasom!,381.300,"Beograd, Opština Voždovac, Voždovačka crkva, Nikole Đurkovića",123 m2,4.5
"Blok 44 do Save, sjajan, 5 odvojenih soba, useljiv",335.000,"Beograd, Opština Novi Beograd, Blok 44 (TC Piramida), Gandijeva",110 m2,4.5
"Belvil sređen, odmah useljiv, bez ulaganja",199.000,"Beograd, Opština Novi Beograd, Blok 67 (Belvil), Bulevar Crvene Armije",45 m2,1.5
48 m² | Parking | Zeleno dvorište | Bez ulaganja,156.000,"Beograd, Opština Zemun, Gornji grad, Cara Dušana",48 m2,2.0
Novogradnja - porodični stan|Gornji Zemun,191.996,"Beograd, Opština Zemun, Gornji grad","68,57 m2",3.0
"Duplex lux, retko u ponudi, mereno 196m2 ID#14453",300.000,"Beograd, Opština Palilula, Borča, Mihaila Šolohova",180 m2,5.0
"Blok 21, 29m², 1.0 + terasa 60m², panoramski pogle",155.000,"Beograd, Opština Novi Beograd, Blok 21, Bulevar Mihajla Pupina",29 m2,1.0
Odličan blizu hrama - Отличная рядом с храмом,189.000,"Beograd, Opština Vračar, Karađorđev park, Nebojšina",42 m2,1.5
LUX trosobni stan 93 m² sa garažom – Autokomanda,338.000,"Beograd, Opština Voždovac, Autokomanda, Vojvode Stepe",93 m2,3.0
Odlican izvorno jednoiposoban namešten stan,112.000,"Beograd, Opština Zvezdara, Cvetanova ćuprija, Mihajla Kostića Pljake",34 m2,1.5
"Mestroviceva,odlican,sredjen,uknjizen",191.500,"Beograd, Opština Voždovac, Braće Jerković, Meštrovićeva",60 m2,2.5
"Novogradnja, Zemun Gornji grad, 74,54m2",208.712,"Beograd, Opština Zemun, Gornji grad, ","74,54 m2",4.0
"Voždovac, Medakovićeva, 33m2 i dvorište",98.000,"Beograd, Opština Voždovac, Medaković 1, Medakovićeva",33 m2,1.5
Duplex-stari cerak,200.000,"Beograd, Opština Čukarica, Cerak, Šavnička",124 m2,5.0
"Sremčica, kompletno renoviran",175.750,"Beograd, Opština Čukarica, Sremčica, Brusnička",95 m2,3.5
"Kanarevo brdo, Borska",110.000,"Beograd, Opština Rakovica, Kanarevo brdo, Borska",38 m2,1.5
"Odličan raspored, lux, moguća kreditna kupovina ID",89.093,"Beograd, Opština Zvezdara, Cvetanova ćuprija, ","38,74 m2",2.0
"Izuzetna novogradnja, igralište za decu, parking I",94.720,"Beograd, Opština Zvezdara, Cvetanova ćuprija, ","39,47 m2",2.0
Na sedam minuta udaljenosti od Autokomande ID#1194,95.095,"Beograd, Opština Zvezdara, Cvetanova ćuprija, ","41,37 m2",2.0
"Blok 28, renoviran, adaptiran stan, ID 25706",229.000,"Beograd, Opština Novi Beograd, Blok 28, Bulevar Arsenija Čarnojevića",62 m2,2.5
"1.0 stam u bloku 21 sa terasom od 60m2, Bul. Mihaj",155.000,"Beograd, Opština Novi Beograd, Blok 21, Bulevar Mihajla Pupina",29 m2,1.0
Novo na Voždovcu sa 4 spavaće,411.900,"Beograd, Opština Voždovac, Dušanovac, Ustanička",135 m2,5.0
"Novo na Voždovcu, 2 spavaće sobe",192.900,"Beograd, Opština Voždovac, Dušanovac, Ustanička","56,77 m2",2.5
"Renoviran, svetao, u parku, uknjižen,brzo useljiv",192.900,"Beograd, Opština Zemun, Prvomajska, Prvomajska",64 m2,2.0
2U1 perfektan uknjižen brzo useljiv stan,341.000,"Beograd, Opština Zvezdara, Vukov Spomenik, Đuke Dinić",83 m2,3.5
Lux useljiv u Stambenom Kompleksu kod nove Crkve,118.000,"Beograd, Opština Novi Beograd, Ledine, MIODRAGA PETROVIĆA ČKALJE",43 m2,2.0
Extra lux stan na Crvenom Krstu-bez provizije,247.500,"Beograd, Opština Vračar, Crveni krst",55 m2,2.0
Lux penthaus sa dve garaze+krovna terasa (140m2),1.100.000,"Beograd, Opština Vračar, Krunski venac",149 m2,5.0
Extra lux stan sa garazom i dvoristem-bez provizij,929.000,"Beograd, Opština Savski venac, Dedinje, Veljka Lukića Kurjaka",210 m2,4.0
Extra lux stan na Crvenom Krstu-bez provizije,516.000,"Beograd, Opština Vračar, Crveni krst",120 m2,4.0
"Odličan, namešten 2.5 stan",175.500,"Beograd, Opština Zvezdara, Vojvode Vlahovića, Milovana Vidakovića",54 m2,2.5
"Miodraga Živanovića, uknjižen, 2.0",155.000,"Beograd, Opština Voždovac, Vojvode Vlahovića, Vojvode Vlahovića",45 m2,2.0
Renoviran,217.000,"Beograd, Opština Čukarica, Cerak vinogradi, Vinogradski venac",62 m2,2.5
"Jednoiposoban stan, parking mesto I dvoriste",130.000,"Beograd, Opština Rakovica, Vidikovačka padina, Prvoboraca",37 m2,1.5
Top lokacija - lux stan,228.000,"Beograd, Opština Čukarica, Cerak vinogradi, Lipa",59 m2,2.0
"Miljakovac 3, uknjižen, komforan",110.000,"Beograd, Opština Rakovica, Miljakovac, Kapablankina",47 m2,1.5
"Pravi trosoban stan, kod Maxija",187.000,"Beograd, Opština Rakovica, Miljakovac, Bogdana Žerajića",75 m2,3.0
"Vračar, funkcionalan 3.5 stan",270.000,"Beograd, Opština Vračar, Crveni krst, Svetolika Rankovića",77 m2,3.5
"Odličan, adaptibilan, 54+7 lođa",175.000,"Beograd, Opština Rakovica, Miljakovac, Stevana Opačića",61 m2,2.0
Porodičan stan sa pogledom koji osvaja,234.000,"Beograd, Opština Rakovica, Vidikovac, Patrijarha Joanikija",91 m2,4.0
"Vidikovačka padina, Humski put",71.000,"Beograd, Opština Rakovica, Vidikovačka padina, Humski put",29 m2,1.5
"Izuzetan, sunčan, garaža",299.900,"Beograd, Opština Voždovac, Lekino brdo, Rada Neimara",75 m2,3.0
Uknjižen 1.5 stan plus terasa,149.900,"Beograd, Opština Rakovica, Miljakovac, Bogdana Žerajića",35 m2,1.5
"Vidikovačka padina, dvosoban stan",132.500,"Beograd, Opština Rakovica, Vidikovačka padina, 17. oktobra",44 m2,2.0
"Renoviran, Vidikovački venac",187.000,"Beograd, Opština Rakovica, Vidikovac, Vidikovački venac",41 m2,2.0
"Odličan, 2.0, uknjižen",132.999,"Beograd, Opština Čukarica, Železnik, Darinke Radović",59 m2,2.0
"Vidikovac, Vidikovački venac",138.990,"Beograd, Opština Rakovica, Vidikovac, Vidikovački venac",58 m2,3.0
"Premium novogradnja, LUX 2.5, cena sa PDV-om",188.275,"Beograd, Opština Zemun, Gornji grad, Zemun",59 m2,2.5
"Namešten dvosoban stan, 52m2 ID#15988",223.000,"Beograd, Opština Palilula, Hadžipopovac, Milana Tankosića",52 m2,2.0
"Trosoban stan za hedoniste, useljiv za mesec dana",179.000,"Beograd, Opština Zvezdara, Cvetanova ćuprija, ",81 m2,3.0
"Sunnyville premium, 72m2, 3.0, nov ID#1399",241.500,"Beograd, Opština Palilula, Višnjička Banja, ","72,31 m2",2.0
West 65 Tower|Trosoban stan|105 m²| X sprat ID#278,595.000,"Beograd, Opština Novi Beograd, Blok 65, Omladinskih brigada",105 m2,3.0
Uknjižena novogradnja u Dobanovačkoj,234.298,"Beograd, Opština Zemun, Dobanovačka, Dobanovačka","75,58 m2",3.5
Lux penthouse na Banovom brdu,465.990,"Beograd, Opština Čukarica, Banovo brdo, Karpoševa","133,14 m2",4.0
Duplex stan u Boutique novogradnji na Vračaru,444.285,"Beograd, Opština Vračar, Čubura, Nikolaja Hartviga","98,73 m2",3.0
Novogradnja - Cara Dušana,247.200,"Beograd, Opština Zemun, Cara Dušana, Cara Dušana","82,40 m2",3.5
BW Nika - Studio stan u Apollo centru - 2. sprat,185.000,"Beograd, Opština Savski venac, Beograd na vodi, Bulevar Vudroa Vilsona","32,30 m2",1.0
"Vračar, Vojislava Ilića - Metohijska 74,5m2",259.500,"Beograd, Opština Vračar, Crveni krst, Metohijska","74,50 m2",2.5
"Kalenić 86m2, salonac idealan za poslovni prostor",315.000,"Beograd, Opština Vračar, Kalenić pijaca, Njegoševa",86 m2,3.0
"SC Vračar 65m2, renoviran stan sa parkingom",300.000,"Beograd, Opština Vračar, SC Vračar, Mileševska",65 m2,3.0
"Voždovac, Autokomanda 42m2 jednoiposoban stan",159.000,"Beograd, Opština Voždovac, Autokomanda, Ustanička",42 m2,1.5
"Sunnyville 46m2, 2.0 sa parking mestom",167.000,"Beograd, Opština Palilula, Višnjička Banja, Slanački put",46 m2,2.0
"Renoviran, uknjižen, brzo useljiv",256.000,"Beograd, Opština Stari grad, Centar, Braće Baruh",60 m2,2.0
"Kompletno namešten, odvojena soba, u centru Zemuna",97.000,"Beograd, Opština Zemun, Cara Dušana, Cara Dušana",31 m2,1.5
"Zemun, Save Kovačević, 78m2, 3.0, renoviran ID#159",255.000,"Beograd, Opština Zemun, Save Kovačevića, Mića Radakovića",78 m2,3.0
"Kula West 65, lux, 95m2, garaža, namešten",530.000,"Beograd, Opština Novi Beograd, Blok 65, Omladinskih brigada",95 m2,3.0
BW Aria lux prelep cetvorosoban stan 110m2,510.000,"Beograd, Opština Savski venac, Beograd na vodi",110 m2,4.0
Adaptibilan uknjižen stan u bloku 62,220.000,"Beograd, Opština Novi Beograd, Blok 62, Nehruova",66 m2,2.0
Odlična lokacija - Studentski trg 65m2,225.000,"Beograd, Opština Stari grad, Studentski trg, Višnjićeva",65 m2,2.0
"5,5 Centar , Makedonska, perfektan , raskosan sa",625.000,"Beograd, Opština Stari grad, Centar, Makedonska",138 m2,5+
"3,0 Vracar , izuzetan , kompletno opremljen , LUX",385.000,"Beograd, Opština Vračar, Centar, ",83 m2,3.0
"Zemun centar 2,5 48m2",168.000,"Beograd, Opština Zemun, Gardoš",48 m2,2.5
"Konjarnik, Ustanicka, 1.5 (adapt. u 2.0), 47 m2",139.000,"Beograd, Opština Zvezdara, Konjarnik, Ustanička",47 m2,1.5
Odmah useljiv stan u M. Milankovica u bloku 28!,179.000,"Beograd, Opština Novi Beograd, Blok 28, Bulevar Milutina Milankovića",55 m2,2.0
2.5 stan sa garazom u novogradnji kod Trosarine!,229.900,"Beograd, Opština Voždovac, Trošarina, Save Maškovića",66 m2,2.5
"Bežanijska kosa II, uknjižen, odmah useljiv",68.000,"Beograd, Opština Novi Beograd, Bežanijska kosa 2, Nedeljka Gvozdenovića",30 m2,1.0
Zeleznik uknjizena novogradnja,153.120,"Beograd, Opština Čukarica, Železnik, Radnih akcija","57,50 m2",2.5
"Bežanijska kosa 3, Srđana Aleksića, 1,0, 38m",131.000,"Beograd, Opština Novi Beograd, Bežanijska kosa 3, Srđana Aleksića",38 m2,1.0
"Beograd na vodi, BW Nika, 2.0. LUX, Useljiv uskoro",285.000,"Beograd, Opština Savski venac, Beograd na vodi, Vožda Đorđa Stratimirovića","55,32 m2",2.0
"Bez provizije, novogradnja, lux",181.800,"Beograd, Opština Vračar, Južni bulevar, Politova",42 m2,1.5
"Beograd na vodi, BW Nika, studio, Useljiv uskoro",185.000,"Beograd, Opština Savski venac, Beograd na vodi, Vožda Đorđa Stratimirovića","32,06 m2",0.5
"BW Eden, LUX, 3.0. Useljiv uskoro",345.000,"Beograd, Opština Savski venac, Beograd na vodi, Bulevar Vudroa Vilsona",76 m2,3.0
"BW Terraces, 3.0. Lux, Useljiv",675.000,"Beograd, Opština Savski venac, Beograd na vodi, Hercegovačka",102 m2,3.0
BW Metropolitan | 3.0. | Pogled na reku,560.000,"Beograd, Opština Savski venac, Beograd na vodi, Bulevar Vudroa Vilsona",102 m2,3.0
"Dorćol – Cara Dušana, Luksuzni salonac",849.000,"Beograd, Opština Stari grad, Cara Dušana, Cara Dušana",173 m2,4.0
BW|Pažljivo dizajniran stan|Pogled na reku|124m2,610.000,"Beograd, Opština Savski venac, Beograd na vodi, Hercegovačka",124 m2,4.0
BW Sensa | Luksuzan trosoban stan u fazi opremanja,399.000,"Beograd, Opština Savski venac, Beograd na vodi, Luke Ćelovića Trebinjca","86,77 m2",3.0
"BW Metropolitan, LUX Studio, Useljiv",195.000,"Beograd, Opština Savski venac, Beograd na vodi, Bulevar Vudroa Vilsona",30 m2,0.5
"BW Vista, 3.0. Uknjižen i useljiv",370.000,"Beograd, Opština Savski venac, Beograd na vodi, Hercegovačka",82 m2,3.0
"Beograd na vodi, BW Quartet, 3.0. lux, Useljiv",384.000,"Beograd, Opština Savski venac, Beograd na vodi, Luke Ćelovića Trebinjca","85,37 m2",3.0
Odmah useljivo - Bašta - Parking,135.000,"Beograd, Opština Čukarica, Bele vode, Milana Delića",40 m2,2.0
"Dalmatinska, jednoiposoban 34m2, uknjižen",120.000,"Beograd, Opština Zvezdara, Vukov Spomenik, Dalmatinska",34 m2,1.5
"Može na kredit, 103m2, adaptilan u 4.0 ID#1023",396.000,"Beograd, Opština Stari grad, Dorćol, Visokog Stevana",103 m2,3.0
"3.0 stan u Novogradnji, Nine Kirsanove ID#3773",136.000,"Beograd, Opština Zvezdara, Mirijevo, Nine Kirsanove",61 m2,3.0
Luksuzni stan - apartman,117.000,"Beograd, Opština Voždovac, Ustanička, Ustanička 84","31,40 m2",1.0
Odmah useljiv stan u lux zgradi,212.000,"Beograd, Opština Voždovac, Ustanička, Ustanička 84a","65,18 m2",3.0
Luksuzni stan - apartman,182.000,"Beograd, Opština Voždovac, Ustanička, Ustanička","54,48 m2",3.0
Dvoiposoban stan u luksuznoj zgradi,199.000,"Beograd, Opština Voždovac, Ustanička, Ustanička 84","56,75 m2",3.0
Luksuzni penthaus vaših snova,394.000,"Beograd, Opština Voždovac, Ustanička, Ustanička 84","121,16 m2",4.0
