naslov,cena_eur,lokacija,kvadratura,broj_soba,cena_po_m2
Nov dvosoban stan 41 m2,95150,"Beograd, Opština Zvezdara, Medaković 3",41.0,2.5,2320.731707317073
"Vračar, Centar - Resavska",254900,"Beograd, Opština Vračar, Centar, Resavska",54.0,2.5,4720.37037037037
Broker - Prodaja stana na Karaburmi,179000,"Beograd, Opština Palilula, Karaburma, ",57.0,2.0,3140.3508771929824
"Kod Hrama, 70m2, IV, cg",350000,"Beograd, Opština Vračar, Hram svetog Save, Brane Crnčevića",70.0,3.0,5000.0
Odličan 4.0 stan-Zahumska-V.spomenik+garaža! ID#19,398000,"Beograd, Opština Zvezdara, Vukov Spomenik, Zahumska",125.0,4.0,3184.0
"Odličan 2.0 stan, TC Big Fashion-Karaburma ID#2023",159900,"Beograd, Opština Palilula, Karaburma, Vojvode Micka Krstića",62.0,2.0,2579.032258064516
BW Metropolitan - Studio na 9. spratu,169900,"Beograd, Opština Savski venac, Beograd na vodi, Bulevar Vudroa Vilsona",29.18,1.0,5822.481151473612
"Vračar, Crveni krst, 61m2, vp, cg",228000,"Beograd, Opština Vračar, Crveni krst, Metohijska",61.0,2.0,3737.7049180327867
Funkcionalan Studio na Dorćolu,120000,"Beograd, Opština Stari grad, Dorćol, Džordža Vašingtona",15.0,0.5,8000.0
Jednosoban 36m2 Bežanija-useljiv,135000,"Beograd, Opština Novi Beograd, Bežanijska kosa 3, Vespučijeva",36.0,1.0,3750.0
"Izuzetna novogradnja, useljenje oktobar 2026. god",190000,"Beograd, Opština Zemun, Zemunske kapije",59.0,2.5,3220.3389830508477
"Pravosnažna građ. dozvola, povrat pdv - a",170500,"Beograd, Opština Zemun, Zemunske kapije",53.0,2.5,3216.9811320754716
"Hram, mladalački stan sa parking mestom",288000,"Beograd, Opština Vračar, Hram svetog Save, Hadži Melentijeva",76.0,2.5,3789.4736842105262
Mirna zgrada okružena zelenilom,199500,"Beograd, Opština Voždovac, Lekino brdo, Bačvanska",65.0,2.0,3069.230769230769
Nov dvoiposoban stan 52 m2 Uciteljsko naselje,163320,"Beograd, Opština Zvezdara, Učiteljsko naselje",52.0,2.5,3140.769230769231
"Novogradnja, Bulevar residence, 30.58m2 + pdv",91740,"Beograd, Opština Zvezdara, Bulevar kralja Aleksandra, ",30.58,1.0,3000.0
"Novogradnja, Mirijevo, 40.64 m2",98755,"Beograd, Opština Zvezdara, Mirijevo, Teodora Mirijevskog",40.64,1.5,2429.9950787401576
2.0 stan bez ulaganja Profesorska kolonija,195000,"Beograd, Opština Palilula, Profesorska kolonija, Ljubomira Stojanovića",47.0,2.0,4148.936170212766
"Uključeno parking mesto, uknjižen",205000,"Beograd, Opština Zemun, Save Kovačevića, Tršćanska",59.0,2.5,3474.576271186441
"Stan 2.0 sa velikim potencijalom, ul. Marijane Gre",139000,"Beograd, Opština Palilula, Karaburma, Marijane Gregoran",49.0,2.0,2836.734693877551
"Ledine, Bukovačka, 45m2, 2.0 ID#3387",129900,"Beograd, Opština Surčin, Ledine, Bukovačka",45.0,2.0,2886.6666666666665
"Uknjižen, novogradnja, terasa 29m2",139500,"Beograd, Opština Voždovac, Jajinci",53.0,3.0,2632.0754716981132
Studio | Viva Residences | Novogradnja,175000,"Beograd, Opština Zvezdara, Đeram pijaca, Milana Rakića",37.18,1.0,4706.831629908553
"Beogradska, 4.0 stan u novogradnji sa garažnim mes",655000,"Beograd, Opština Vračar, Beogradska, ",115.0,4.0,5695.652173913043
"Zemun, 3,5, useljiv, parking u ceni",220000,"Beograd, Opština Zemun, Gornji grad, ",73.0,3.5,3013.698630136986
3.0 stan u vrhunskoj zgradi - sada po Super Popust,271270,"Beograd, Opština Novi Beograd, Blok 65, ",71.0,3.0,3820.7042253521126
Salonac centar Beograda 76m2,325000,"Beograd, Opština Stari grad, Dorćol, Dositejeva",76.0,3.0,4276.315789473684
Fukcionalan 2.0 stan adaptibilan u 3.0 na B. Kosi,239000,"Beograd, Opština Novi Beograd, Bežanijska kosa 3, Viktora Novaka",85.0,2.0,2811.764705882353
"Porodičan stan na najtraženijoj lokaciji, Dedinje",1150000,"Beograd, Opština Savski venac, Dedinje",213.0,5.0,5399.0610328638495
Lep dvosoban stan na Lionu,186000,"Beograd, Opština Zvezdara, Lion, Čede Mijatovića",50.0,2.0,3720.0
"Izuzetna prilika, stan sa garažom u centru grada",420000,"Beograd, Opština Vračar, Cvetni trg, Mišarska",65.0,2.0,6461.538461538462
Stan na idealnoj lokaciji ID#25415,129000,"Beograd, Opština Voždovac, Autokomanda, Gospodara Vučića",27.0,1.0,4777.777777777777
"Moderan namešten 2.0 - Dorćol, Cara Dušana ID#1054",250000,"Beograd, Opština Stari grad, Dorćol, Cara Dušana",45.0,2.0,5555.555555555556
Top lokacija u Železniku!,134999,"Beograd, Opština Čukarica, Železnik, Darinke Radović",59.0,2.5,2288.1186440677966
"Terminal 10,2.0 stan,bez provizije za kupce",228447,"Beograd, Opština Novi Beograd, Blok 66, Đorđa Stanojevića",62.76,2.0,3640.0095602294455
"Prodaja 3.5 stana na Vračaru, Svetozara Markovića",335000,"Beograd, Opština Vračar, Pravni fakultet, Svetozara Markovića",103.0,3.5,3252.4271844660193
"Prodajemo ušuškan dvosoban stan, Cvetni trg, 57m2",249000,"Beograd, Opština Vračar, Cvetni trg, Svetozara Markovića",57.0,2.0,4368.421052631579
Salonski 3.0 stan na Dorćolu dve stambene jedinice,325000,"Beograd, Opština Stari grad, Dorćol, Cara Uroša",67.0,3.0,4850.746268656716
"Vojvode Stepe, Trošarina, odličan 3.0 stan, 89m2",300000,"Beograd, Opština Voždovac, Trošarina, Vojvode Stepe",89.0,3.0,3370.7865168539324
"Renoviran 3.0 stan u Sarajevskoj ulici, 68m2",228000,"Beograd, Opština Savski venac, Sarajevska, Sarajevska",68.0,3.0,3352.9411764705883
"Nov porodičan 3.5 stan na Zvezdari, Duvanjska 74m2",286000,"Beograd, Opština Zvezdara, Olimp, Duvanjska",74.0,3.5,3864.864864864865
"Svetao trosoban stan sa terasom u Mirijevu, 77m2",210000,"Beograd, Opština Zvezdara, Mirijevo, Matice srpske",77.0,3.0,2727.2727272727275
Uknjižen dupleks sa dva odvojena stana na Lionu,315000,"Beograd, Opština Zvezdara, Lion, Kulina Bana",94.0,4.0,3351.063829787234
"Dvosoban stan na Vračaru, 65m2, kod Kalenić pijace",237000,"Beograd, Opština Vračar, Kalenić pijaca, Maksima Gorkog",65.0,2.0,3646.153846153846
"Renoviran 3.0 stan u ulici Maršala Birjuzova, 72m2",350000,"Beograd, Opština Stari grad, Obilićev venac, Maršala Birjuzova",72.0,3.0,4861.111111111111
"Renoviran 4.5 stan kod FDU, blok 28, 121m2, garaža",417450,"Beograd, Opština Novi Beograd, Blok 28, Bulevar Arsenija Čarnojevića",121.0,4.5,3450.0
"Troiposoban stan na Paliluli, Profesorska kolonija",249000,"Beograd, Opština Palilula, Profesorska kolonija, Nikodima Milaša",74.0,3.5,3364.864864864865
"Prodaje se nov četvorosoban stan, New Minel 112m2",429000,"Beograd, Opština Novi Beograd, Tošin bunar, Tošin bunar",112.0,4.0,3830.3571428571427
"Prodaje se 5.0 prostran stan na Dedinju, 213m2",1150000,"Beograd, Opština Savski venac, Dedinje, Neznanog junaka",213.0,5.0,5399.0610328638495
Renoviran salonski trosoban stan u Kosovskoj ulici,417000,"Beograd, Opština Stari grad, Centar, Kosovska",95.0,3.0,4389.473684210527
"Namešten, dvosoban stan, 76m2, blizina Marakane",295000,"Beograd, Opština Voždovac, Bulevar oslobođenja, Bulevar oslobođenja",76.0,2.0,3881.5789473684213
Adaptibilan 3.0 stan u ulici Strahinjića Bana 85m2,350000,"Beograd, Opština Stari grad, Dorćol, Strahinjića Bana",85.0,3.0,4117.64705882353
"Novi Beograd, Blok 61 - Dr Ivana Ribara",239000,"Beograd, Opština Novi Beograd, Blok 61, Dr Ivana Ribara",75.0,3.0,3186.6666666666665
"Zemun, 1.0 apartman , novogradnja",120000,"Beograd, Opština Zemun, Novi grad, Mačvanska",50.0,1.0,2400.0
"Čukarica, Banovo brdo - Petra Mećave",170000,"Beograd, Opština Čukarica, Banovo brdo, Petra Mećave",51.0,2.0,3333.3333333333335
Lux novogradnja Jove Ilića,195900,"Beograd, Opština Voždovac, FON - Bilećka, Jove Ilića",47.0,2.0,4168.085106382979
Bulevar JNA Jajinci 26m2 (direktno od investitora),57200,"Beograd, Opština Voždovac, Jajinci, Bulevar JNA",26.0,1.0,2200.0
Bw Victoria | odlicna investicija | pogled na grad,355000,"Beograd, Opština Savski venac, Beograd na vodi, ",62.41,2.0,5688.190995032847
Kapije Vračara-Luksuzan stan u premium kompleksu,324000,"Beograd, Opština Vračar, Južni bulevar, Južni bulevar",72.0,3.0,4500.0
BW Quartet 3 | Dom spreman za useljenje | 3.0,375000,"Beograd, Opština Savski venac, Beograd na vodi, Luke Ćelovića Trebinjca",72.0,3.0,5208.333333333333
Novi Beograd Blok 33,275000,"Beograd, Opština Novi Beograd, Blok 33, Bulevar Zorana Đinđića",71.0,3.5,3873.239436619718
Bw Libera - studio na odličnoj poziciji,195000,"Beograd, Opština Savski venac, Beograd na vodi, Bulevar Vudroa Vilsona",35.59,1.0,5479.067153694858
"Novogradnja Surčin, Lux lokacija, brzo useljivo",78945,"Beograd, Opština Surčin, Surčin (mesto), Vojvođanska",41.55,1.5,1900.0000000000002
"Novogradnja Surčin, brzo useljivo, Lux Trosoban",173831,"Beograd, Opština Surčin, Surčin (mesto), Vojvođanska",91.49,3.0,1900.0
"Cerak vinogradi, troiposoban, uknjižen, vlasnik",290000,"Beograd, Opština Čukarica, Cerak vinogradi, Vinogradski venac",95.0,3.5,3052.6315789473683
"Konjarnik, 1.5, 49m2, lođa ID#2505",138900,"Beograd, Opština Zvezdara, Konjarnik, Ustanička",49.0,1.5,2834.6938775510203
Komforan 2.5 Zemun ID#2356,164900,"Beograd, Opština Zemun, Save Kovačevića, Ohridska",62.0,2.5,2659.6774193548385
Blok 45 2.0 stan na top lokaciji ID#2174,228900,"Beograd, Opština Novi Beograd, Blok 45 (TC Enjub), Nehruova",71.0,2.0,3223.943661971831
Lux 3.0 stan na B.Kosi sa garažnim mestom ID#2239,233883,"Beograd, Opština Novi Beograd, Bežanijska kosa 2, Bežanijskih Ilegalaca",59.97,3.0,3900.0
"Učiteljsko naselje-Živka Davidovića, 96m2, I, eg",263000,"Beograd, Opština Zvezdara, Učiteljsko naselje, Živka Davidovića",96.0,3.0,2739.5833333333335
"Slavija-Kneginje Zorke, 91m2, II, cg",450000,"Beograd, Opština Vračar, Slavija, Kneginje Zorke",91.0,3.5,4945.054945054945
"Višnjička Banja, 88m2, Energoprojektove zgrade",185000,"Beograd, Opština Palilula, Višnjička Banja, Slobodana Jovanovića",88.0,3.0,2102.2727272727275
"Mirijevo-Dom zdravlja, 86m2, IV, cg",230000,"Beograd, Opština Zvezdara, Mirijevo, Matice srpske",86.0,3.0,2674.4186046511627
"BW-Metropolitan, 82m2, lux, VII,",435000,"Beograd, Opština Savski venac, Beograd na vodi, Bulevar Vudroa Vilsona",82.0,3.0,5304.878048780488
"Novije, renovirano",69500,"Beograd, Opština Voždovac, Lekino brdo, Todora Dukina",21.0,0.5,3309.5238095238096
"Skupština, 78m2, 3.0, 4/4, bez ulaganja",315000,"Beograd, Opština Stari grad, Skupština, Milutina Bojića",78.0,3.0,4038.4615384615386
Dvosoban namešten stan u elitnom delu Beograda,226000,"Beograd, Opština Savski venac, Lisičji potok, Slavka Ćuruvije",70.0,2.0,3228.5714285714284
Trosoban moderan stan na Zvezdari - 1.sprat,165000,"Beograd, Opština Zvezdara, Veliki Mokri Lug, Jovana Belića",54.14,3.0,3047.6542297746582
"Lekino brdo, 70m2, vp, eg",199500,"Beograd, Opština Voždovac, Lekino brdo, Bačvanska",70.0,2.5,2850.0
"Dorćol-Cara Dušana, 68m2, V, ta",289000,"Beograd, Opština Stari grad, Dorćol, Cara Dušana",68.0,3.0,4250.0
"Surčin-Krušedolska, 65m2, I, eg, novogradnja",139900,"Beograd, Opština Surčin, Surčin (mesto), Krušedolska",65.0,3.0,2152.3076923076924
B. kosa III MZ kod škole- pijaca,130000,"Beograd, Opština Novi Beograd, Bežanijska kosa 3, Viktora Novaka",45.0,2.0,2888.8888888888887
Blok 21 Novi Beograd,278500,"Beograd, Opština Novi Beograd, Blok 21, Bulevar Mihajla Pupina",76.0,2.0,3664.4736842105262
"Slavujev venac, 61m2, I, eg",228000,"Beograd, Opština Zvezdara, Bulbulder, Koste Taušanovića",61.0,2.0,3737.7049180327867
"Dorćol-Braće Baruh, 57m2, V, cg,",256000,"Beograd, Opština Stari grad, Dorćol, Braće Baruh",57.0,2.0,4491.228070175439
"Olimp, 60m2, IV, gas",228000,"Beograd, Opština Zvezdara, Olimp, Mirka Lukovića",60.0,3.0,3800.0
"Mirijevo-OŠ Pavle Savić, 53m2, 2.0, pr, eg",117900,"Beograd, Opština Zvezdara, Mirijevo, Podmorničara Đorđa Mitrovića",53.0,2.0,2224.5283018867926
"Lion Viva Residences, 112m2, VI, cg",469900,"Beograd, Opština Zvezdara, Lion, Milana Rakića",112.0,3.0,4195.535714285715
"Vračar, 92m2, 2.5, IV, renoviran sa parkingom",500000,"Beograd, Opština Vračar, Slavija, Krunska",92.0,2.5,5434.782608695652
"BW- Iris, 32.06m2, XIV",179900,"Beograd, Opština Savski venac, Centar, Hercegovačka",32.0,1.0,5621.875
"Kanarevo brdo, odličan uknjižen stan",129500,"Beograd, Opština Rakovica, Kanarevo brdo, Vukasovićeva",47.0,2.0,2755.31914893617
"Autokomanda-kancelarijski prostor,222m2, st",350000,"Beograd, Opština Voždovac, Autokomanda, Borisavljevićeva",222.0,5.0,1576.5765765765766
"Lipov lad-Dojranska, 57m2, III, ta",259000,"Beograd, Opština Zvezdara, Lipov lad, Dojranska",57.0,2.5,4543.859649122807
Prelep 2.5 stan u bloku 62 ID#2512,299900,"Beograd, Opština Novi Beograd, Blok 62, Jurija Gagarina",80.0,2.5,3748.75
"Lipov lad, 54m2 ID#2476",189000,"Beograd, Opština Zvezdara, Lipov lad, Kulina Bana",54.0,2.5,3500.0
"Lekino brdo,novogradnja,bez provizije za kupca ID#",191030,"Beograd, Opština Voždovac, Lekino brdo, ",54.58,1.5,3500.0
"Funkcionalan 2.5 na sjajnoj lokaciji, blok 19A ID#",204900,"Beograd, Opština Novi Beograd, Blok 19a, Milentija Popovića",59.0,2.5,3472.8813559322034
Komforan dvosoban u bloku 70 ID#2413,210000,"Beograd, Opština Novi Beograd, Blok 70 (kineski tržni centar), Jurija Gagarina",64.0,2.0,3281.25
"Renoviran, 1.5, namešten stan ID#2367",181500,"Beograd, Opština Novi Beograd, Fontana, Pariske komune",41.0,1.5,4426.829268292683
"Salonac u Smiljanićevoj, 3.0, 76m2(L+T) ID#2343",295000,"Beograd, Opština Vračar, Kalenić pijaca, Smiljanićeva",69.0,3.0,4275.36231884058
"Odmah useljiv, uknjižen, adaptibilan u 3.0",250000,"Beograd, Opština Novi Beograd, Blok 45 (TC Enjub), Jurija Gagarina",70.0,2.0,3571.4285714285716
"Svetao, funkcionalan",239000,"Beograd, Opština Novi Beograd, Blok 70 (kineski tržni centar), Jurija Gagarina",68.0,2.5,3514.705882352941
"Četvorosoban dupleks na Dorćolu sa 2 terase, 192m2",670000,"Beograd, Opština Stari grad, Dorćol, Visokog Stevana",192.0,4.0,3489.5833333333335
Strukturno najlepši trosoban stan u Kaluđerici ID#,114680,"Beograd, Opština Grocka, Kaluđerica, ",61.0,3.0,1880.0
Najbolja lokacija u Mirijevu - žuta fasadna cigla,122000,"Beograd, Opština Zvezdara, Mirijevo, Grge Jankesa",50.0,2.0,2440.0
"B.Kosa I renoviran 2.0(2,5) kod Hrama ID#2067",233000,"Beograd, Opština Novi Beograd, Bežanijska kosa 1, Nikole Dobrovića",61.0,2.0,3819.6721311475408
"Zemun naselje 13.maj, 3.0, 77m са terasom + podrum",127000,"Beograd, Opština Zemun, Batajnicki drum, Poljoprivredno dobro 13. maj",77.0,3.0,1649.3506493506493
Dupleks Sunyville,205000,"Beograd, Opština Palilula, Višnjička Banja, MirkaMilojkovića",75.0,3.0,2733.3333333333335
"Centar-kod Hotela Moskva, 137m2, II, cg,",493200,"Beograd, Opština Savski venac, Beograđanka, Lomina",137.0,4.5,3600.0
Novogradnja na Zvezdari,274000,"Beograd, Opština Zvezdara, Zeleno brdo, Živka Davidovića",81.79,3.0,3350.042792517422
"Dorćol, lux, 3.0, sa pečatom istorije",399900,"Beograd, Opština Stari grad, Dorćol, -",73.0,3.0,5478.082191780822
"Botanička bašta, 87m2, XII, cg, namešten",275000,"Beograd, Opština Palilula, Botanička bašta, Bulevar despota Stefana",87.0,3.0,3160.919540229885
"Retko u ponudi, stan sa velikim potencijalom!",230000,"Beograd, Opština Vračar, Cvetni trg, Desanke Maksimović",56.0,2.0,4107.142857142857
"Trg Republike, 134 m2 sa privatnom terasom",370000,"Beograd, Opština Stari grad, Trg Republike, Trg republike",134.0,5.0,2761.194029850746
"Stan, Lekino Brdo",230000,"Beograd, Opština Voždovac, Lekino brdo, Tetovska",60.0,2.5,3833.3333333333335
Lux stan u novoj zgradi na top lokaciji ID#137050,139680,"Beograd, Opština Zemun, Gornji grad, Cara Dušana",36.0,1.5,3880.0
"Kalenić pijaca, 82m2, II, eg",319000,"Beograd, Opština Vračar, Kalenić pijaca, Topolska",82.0,3.0,3890.243902439024
"ZEMONA Banatska Lux 1.5 Stan 41,50 m² + g.m.",170000,"Beograd, Opština Zemun, Gornji grad, Banatska",41.5,1.5,4096.385542168675
"Nova Karaburma, renoviran, 55m2",155000,"Beograd, Opština Palilula, Karaburma, Pere Ćetkovića",55.0,2.0,2818.181818181818
"Retko u ponudi, Vracar 25m2,renoviran, uknjizen",99999,"Beograd, Opština Vračar, Kalenić pijaca, Molerova",25.0,1.0,3999.96
Ekskluzivni 3.0 salonac na Vračaru,399000,"Beograd, Opština Vračar, Hram svetog Save, Mačvanska",84.0,3.0,4750.0
"U srcu Vračara, zgrada od fasadne cigle",209000,"Beograd, Opština Vračar, Krunski venac, Koče Kapetana",53.0,2.5,3943.396226415094
"Karaburma-stara okretnica, 54m2, vpr",139900,"Beograd, Opština Palilula, Karaburma, Husinskih rudara",54.0,2.0,2590.740740740741
Odličan stan kod Arene ID#15784,292800,"Beograd, Opština Novi Beograd, Blok 22, Antifašističke borbe",64.0,2.0,4575.0
"Dedinje, Stjepana Filipovića, 77m2",187000,"Beograd, Opština Savski venac, Dedinje, Stjepana Filipovića",77.0,3.0,2428.5714285714284
"ZepTerra, lux, novogradnja, opremljen, ID 25874",329000,"Beograd, Opština Novi Beograd, Blok 65, Tadije Sondermajera",70.0,2.5,4700.0
"Vračar-Kumanovska, 76m2, II, cg",360000,"Beograd, Opština Vračar, Centar, Kumanovska",76.0,3.5,4736.8421052631575
"Dvoiposoban, novogradnja, lux ID#1437",124000,"Beograd, Opština Novi Beograd, Ledine, ",56.49,2.5,2195.0787750044256
"Novogradnja, odvojena soba, keš kupci ID#1438",100000,"Beograd, Opština Novi Beograd, Ledine, ",38.54,1.5,2594.706798131811
"Podno grejanje, građevinska dozvola, keš kupci ID#",85000,"Beograd, Opština Novi Beograd, Ledine, ",42.12,2.5,2018.0436847103515
"Lux, novogradnja, Ledine ID#1443",57000,"Beograd, Opština Novi Beograd, Ledine, ",30.0,1.0,1900.0
"Neimar, 69m2, III, novogradnja",315000,"Beograd, Opština Vračar, Južni bulevar, Južni bulevar",69.0,3.0,4565.217391304348
"Zemun Cara Dušana, uknjižen, novogradnja ID#1002",160000,"Beograd, Opština Zemun, Cara Dušana, Cara Dušana",45.0,2.0,3555.5555555555557
"Blok 70, četvorospratnice, 87m2 ID#1007",335000,"Beograd, Opština Novi Beograd, Blok 70 (kineski tržni centar), Gandijeva",87.0,3.0,3850.574712643678
"Blok 63, renoviran 2.5 stan, 63m2 ID#1008",220500,"Beograd, Opština Novi Beograd, Blok 63, Jurija Gagarina",63.0,2.5,3500.0
"Žarkovo, renoviran - uknjižen",179000,"Beograd, Opština Čukarica, Žarkovo, Dušana Vlajića",72.0,3.0,2486.1111111111113
"Zvezdara-K.Taušanovića, 68m2, II, ta",239000,"Beograd, Opština Zvezdara, Bulbulder, Koste Taušanovića",68.0,3.0,3514.705882352941
"Dorćol-Kralja Petra, 66m2, III, cg",345000,"Beograd, Opština Stari grad, Dorćol, Kralja Petra",66.0,2.0,5227.272727272727
"Lion, 33m2, pr, ta",110000,"Beograd, Opština Zvezdara, Lion, Bulevar kralja Aleksandra",33.0,1.0,3333.3333333333335
"Gundulićev venac, 62m2, pr, eg",215000,"Beograd, Opština Stari grad, Dorćol, Đorđa Jovanovića",62.0,3.0,3467.7419354838707
Lux 3.0 stan na Vračaru - Južni bulevar,270000,"Beograd, Opština Vračar, Južni bulevar, Generala Horvatovića",78.13,3.0,3455.7788301548703
"Odlican stan u Zemunu 47,50m2",180000,"Beograd, Opština Zemun, Prvomajska, Banjička",47.5,2.0,3789.4736842105262
"Skadarlija, investicija ID#13075",180000,"Beograd, Opština Stari grad, Skadarlija, Cetinjska",30.0,1.0,6000.0
"Penthaus, mereno 136m2, garaža ID#15296",380000,"Beograd, Opština Voždovac, Autokomanda, Bulevar oslobođenja",115.0,4.0,3304.3478260869565
"Dorćol, dvosoban stan, mereno 42m2 ID#15440",179000,"Beograd, Opština Stari grad, Dorćol, Komnen Barjaktara",38.0,2.0,4710.526315789473
"Vračar, Kičevska, mereno 40m2, uknjižen ID#15599",205000,"Beograd, Opština Vračar, Kalenić pijaca, Kičevska",38.0,1.0,5394.736842105263
Lux duplex kod ID#15736,315000,"Beograd, Opština Palilula, Zira, Albanske spomenice",101.0,3.0,3118.8118811881186
"Novogradnja, brzo useljivo ID#15740",269500,"Beograd, Opština Voždovac, Voždovačka crkva, Vojvode Stepe",77.0,3.5,3500.0
"Kej oslobođenja, 58m2, 2.0 ID#15822",224000,"Beograd, Opština Zemun, Karađorđev trg, Karađorđev Trg",58.0,2.0,3862.0689655172414
Top lokacija kod Arene – dve funkcionalne celine,365000,"Beograd, Opština Novi Beograd, Blok 24 (Super Vero), Bulevar Arsenija Čarnojevića",95.0,3.5,3842.1052631578946
Jednosoban stan u Sarajevskoj,125000,"Beograd, Opština Savski venac, Sarajevska, Sarajevska",33.0,1.0,3787.878787878788
"Hotel Jugoslavija, 48m2",159000,"Beograd, Opština Novi Beograd, Hotel Jugoslavija, Džona Kenedija",48.0,2.0,3312.5
"Novi Železnik,dvosoban stan ID#2261",133000,"Beograd, Opština Čukarica, Novi Železnik, Darinke Radović",59.0,2.0,2254.237288135593
Prelep uknjižen 4.0 dupleks ID#2365,216000,"Beograd, Opština Rakovica, Vidikovac, Vidikovački venac",108.0,4.0,2000.0
"New Minel, luksuzan penthaus 176m2 ID#2447",692000,"Beograd, Opština Novi Beograd, Tošin bunar, Tošin bunar",176.0,4.0,3931.818181818182
"Beograđanka-Birčaninova, 54m2, IV, ta/cg",175000,"Beograd, Opština Vračar, Slavija, Birčaninova",54.0,3.0,3240.740740740741
"Meandri, dvoiposoban stan, odmah useljiv ID#2517",205000,"Beograd, Opština Zemun, Meandri, Zagorska",77.0,2.5,2662.3376623376626
"Vračar,Krunska,odmah useljiv,garaža ID#2539",585000,"Beograd, Opština Vračar, Cvetni trg, Svetozara Markovića",110.0,3.5,5318.181818181818
"Blok 45, četvorospratnica, odmah useljiv ID#2545",290000,"Beograd, Opština Novi Beograd, Blok 45 (TC Enjub), Dr Ivana Ribara",92.0,3.0,3152.1739130434785
"Penthouse -T.C Stadion, Vanđela Tome ID#3865",205000,"Beograd, Opština Voždovac, TC Stadion, Vanđela Tome",88.75,2.5,2309.8591549295775
"Dorćol, Braće Baruh 2.0, 57m2, renoviran, namešten",256000,"Beograd, Opština Stari grad, Dorćol, Braće Baruh",57.0,2.0,4491.228070175439
"Palilula, Karaburma - Salvadora Aljendea",115000,"Beograd, Opština Palilula, Karaburma, Salvadora Aljendea",43.0,1.0,2674.4186046511627
"Palilula, Stara Karaburma - Sloga",99900,"Beograd, Opština Palilula, Karaburma, Sloga",30.0,0.5,3330.0
"Zelena oaza na Miljakovcu 2–Odličan stan, 54m2",147900,"Beograd, Opština Rakovica, Miljakovac, Stevana Opačića",54.0,2.0,2738.8888888888887
Trosoban stan funkcionalnog rasporeda u Bloku 8a,223000,"Beograd, Opština Novi Beograd, Blok 8a, Bulevar Mihajla Pupina",61.0,3.0,3655.7377049180327
"Odličan 2.0 uknjižen, na top lokaciji",217000,"Beograd, Opština Novi Beograd, Bežanijska kosa 1, Marka Čelebonovića",64.0,2.0,3390.625
"Karaburma TC Big, garsonjera sa terasom",89000,"Beograd, Opština Palilula, Karaburma, Homoljska",25.0,0.5,3560.0
"Lux, uknjižen, u Palmotićevoj",398000,"Beograd, Opština Stari grad, Skupština, Palmotićeva",120.0,4.5,3316.6666666666665
"Stara Bežanija, 50m2, vpr, eg,",159000,"Beograd, Opština Novi Beograd, Stara Bežanija, Pere Segedinca",50.0,2.5,3180.0
"Kod Kluza, 50m2, dvosoban, namešten, renoviran",115000,"Beograd, Opština Zvezdara, Kluz, Dušana Radovića",50.0,2.0,2300.0
"Mirijevo-Zagrađe, 43m2, III, eg",130000,"Beograd, Opština Zvezdara, Mirijevo, Zagrađe",43.0,1.5,3023.2558139534885
Novi Beograd-Blok 61 ID#1591,105000,"Beograd, Opština Novi Beograd, Blok 61, Dr Ivana Ribara",48.0,2.0,2187.5
"Lekino brdo, 33m2, IV, cg",142000,"Beograd, Opština Voždovac, Lekino brdo, Murska",33.0,1.0,4303.030303030303
Mirijevo novogradnja | Dvoiposoban | Useljivo,138325,"Beograd, Opština Zvezdara, Mirijevo, Aleksandra Bugarskog",55.33,2.5,2500.0
Mirijevo| Mirijevo 3 | Nov,122000,"Beograd, Opština Zvezdara, Mirijevo, Podmorničara Đorđa Mitrovića",55.05,2.0,2216.1671207992736
Useljiv odmah + parking,205000,"Beograd, Opština Zemun, Save Kovačevića, Tršćanska",59.0,2.5,3474.576271186441
Osvetljen dvostrano orijentisan stan 92 m²,380000,"Beograd, Opština Novi Beograd, Bežanijska kosa 1, Partizanske avijacije",92.0,4.0,4130.434782608696
Lux stan sa pogledom,298000,"Beograd, Opština Voždovac, Trošarina, Vojvode Stepe",90.0,3.0,3311.1111111111113
"Odličan, lako adaptibilan u dvosoban",119900,"Beograd, Opština Voždovac, Braće Jerković, Braće Jerković",47.0,1.0,2551.063829787234
Vračar - kod Kajmakčalanske - nov ID#5272,275900,"Beograd, Opština Vračar, Crveni krst, Dojranska",61.0,2.5,4522.950819672131
Plato Milene i Gage-Mileševska-divan 3.5 stan! ID#,430000,"Beograd, Opština Vračar, Centar, Mileševska",100.0,3.5,4300.0
"Zahumska-Vukov spomenik, lux opremljena garsonjera",137000,"Beograd, Opština Zvezdara, Vukov Spomenik, Zahumska",30.0,1.0,4566.666666666667
"Pogled na Dunav, veća kvadratura,samo za keš kupci",146000,"Beograd, Opština Palilula, Karaburma, Marijane Gregoran",60.0,2.0,2433.3333333333335
"Banovo brdo, 33m2+7m2 ID#2501",165000,"Beograd, Opština Čukarica, Banovo brdo, Petra Lekovića",33.0,1.5,5000.0
"Lux, renoviran, 2.0, Cerak",228000,"Beograd, Opština Čukarica, Cerak vinogradi, Lipa",59.0,2.0,3864.406779661017
Gornji Dorćol Kapetan Mišina,670000,"Beograd, Opština Stari grad, Dorćol, Kapetan Mišina",155.0,4.0,4322.580645161291
"Ćalije, novogradnja, 3.0, 88(T)+Garaž. m., useljiv",160000,"Beograd, Opština Palilula, Ćalije, Ćustendilska",88.0,3.0,1818.1818181818182
