naslov,cena_eur,lokacija,kvadratura,broj_soba,cena_po_m2
Salonac | Krunski venac | Vračar,439000,"Beograd, Opština Vračar, Krunski venac, Molerova",96.0,4.0,4572.916666666667
"Lekino brdo, 3,5 svetao stan",206000,"Beograd, Opština Voždovac, Lekino brdo, Tetovska",65.55,3.5,3142.6392067124334
Lep stan pored parka,170000,"Beograd, Opština Čukarica, Banovo brdo, Žarka Vukovića Pucara",47.0,2.5,3617.021276595745
"Vrhunski stan, idealna lokacija, vojni stan",405000,"Beograd, Opština Novi Beograd, Bežanijska kosa 2, Peđe Milosavljevića",97.0,4.5,4175.257731958763
"Dvosoban, uknjižen, renoviran, odlična lokacija",129000,"Beograd, Opština Zemun, Ugrinovačka, Ugrinovačka",44.0,2.0,2931.818181818182
"Četvorosoban, odličan, funkcionalan",238000,"Beograd, Opština Čukarica, Cerak vinogradi, Cerski venac",83.0,4.0,2867.4698795180725
"Vračar, Kalenić pijaca – Mileševska",269500,"Beograd, Opština Vračar, Kalenić pijaca, Mileševska",65.0,2.0,4146.153846153846
BW Rima- savršeni dom na premium lokaciji!,275000,"Beograd, Opština Savski venac, Beograd na vodi, Hercegovačka",55.81,2.0,4927.432359792152
Trosoban stan 87 m² – investiciona prilika,175000,"Beograd, Opština Savski venac, Prokop, Lazara Sočice",87.0,3.0,2011.4942528735633
Vojne zgrade - 1.0 - lep i funkcionalan stan,129000,"Beograd, Opština Zvezdara, Mirijevo, Raše Plaovića",41.0,1.0,3146.3414634146343
Uknjižen stan sa parking mestom ID#1453,80000,"Beograd, Opština Novi Beograd, Ledine, ",32.0,1.5,2500.0
"Retko u ponudi, renoviran, 2.5, 50m2",177000,"Beograd, Opština Zvezdara, Konjarnik, Jelene Mioč",50.0,2.5,3540.0
"Četvorosoban stan, 86 m², Blok 30, Novi Beograd",323000,"Beograd, Opština Novi Beograd, Blok 30 (B92), Španskih boraca",86.0,4.0,3755.813953488372
Luksuzno renoviran stan,299000,"Beograd, Opština Čukarica, Cerak vinogradi, Cersiki venac",83.0,4.0,3602.409638554217
"Uknjižen i bez ulaganja, 3 sprat, odlična lokacija",137900,"Beograd, Opština Zvezdara, Mirijevo, ",41.0,2.0,3363.4146341463415
"Odmah useljiv, investicija, može kredit za mlade!",89900,"Beograd, Opština Voždovac, Medaković 2, Radovana Simića Cige",25.0,0.5,3596.0
N. Beograd - funkcionalan i svetao stan 71m2,234000,"Beograd, Opština Novi Beograd, Stari Merkator, Otona Župančiča",71.0,3.0,3295.774647887324
"Partizanov stadion, 3.0 nov stan 71 m2",265000,"Beograd, Opština Savski venac, Stadion Partizana, Partizanov stadion",71.0,3.0,3732.394366197183
"Strahinjica bana, deljiv u dva stana, dva ulaza!",350000,"Beograd, Opština Stari grad, Centar, Strahinjića Bana",90.0,3.0,3888.8888888888887
Trosoban stan sa otvorenim i carobnim pogledom!,333000,"Beograd, Opština Vračar, Čubura, Sazonova",82.0,3.0,4060.9756097560976
Zvezdara - Đeram pijaca - 5.0 ID#25609,349000,"Beograd, Opština Zvezdara, Đeram pijaca, Pećska",118.0,5.0,2957.6271186440677
"Odmah useljiv, sa nameštajem, garažno mesto",295000,"Beograd, Opština Zemun, Zelena avenija, Tošin bunar",71.0,3.0,4154.929577464789
Harmonija – samo 20 minuta od centra Beograda,122037,"Beograd, Opština Surčin, Dobanovci, Anđelka Čobanovića",64.23,2.5,1899.9999999999998
"Premium kvalitet – Surčin, u izgradnji, 39 m²",82000,"Beograd, Opština Surčin, Surčin (mesto), Obilićev venac",39.0,2.0,2102.5641025641025
"Lux dvosoban, Dorćol, novogradnja + GaraŽa",245000,"Beograd, Opština Stari grad, Dorćol, ",40.0,2.0,6125.0
